timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1698851850341,973,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-9,,true,,140148,2400,10,10,null,314,3973,175
1698851854892,432,https://www.talan-academy.com/candidate/profile,200,OK,Thread Group 1-6,text,true,,69971,1113,10,10,https://www.talan-academy.com/#login,64,0,0
1698851854892,64,https://www.talan-academy.com/candidate/profile-0,302,Found,Thread Group 1-6,text,true,,762,565,10,10,https://www.talan-academy.com/candidate/profile,64,0,0
1698851854956,368,https://www.talan-academy.com/candidate/profile-1,200,OK,Thread Group 1-6,text,true,,69209,548,10,10,https://www.talan-academy.com/#login,80,0,0
1698851850253,1100,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-6,,true,,140155,2400,10,10,null,322,3971,189
1698851855042,320,https://www.talan-academy.com/candidate/profile,200,OK,Thread Group 1-1,text,true,,69964,1113,10,10,https://www.talan-academy.com/#login,55,0,0
1698851855042,55,https://www.talan-academy.com/candidate/profile-0,302,Found,Thread Group 1-1,text,true,,762,565,10,10,https://www.talan-academy.com/candidate/profile,55,0,0
1698851855097,265,https://www.talan-academy.com/candidate/profile-1,200,OK,Thread Group 1-1,text,true,,69202,548,10,10,https://www.talan-academy.com/#login,64,0,0
1698851850597,794,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,140148,2400,10,10,null,259,3971,151
1698851855057,372,https://www.talan-academy.com/candidate/profile,200,OK,Thread Group 1-10,text,true,,69964,1113,10,10,https://www.talan-academy.com/#login,64,0,0
1698851855057,64,https://www.talan-academy.com/candidate/profile-0,302,Found,Thread Group 1-10,text,true,,762,565,10,10,https://www.talan-academy.com/candidate/profile,64,0,0
1698851855121,308,https://www.talan-academy.com/candidate/profile-1,200,OK,Thread Group 1-10,text,true,,69202,548,10,10,https://www.talan-academy.com/#login,72,0,0
1698851850512,946,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-10,,true,,140148,2400,10,10,null,325,3972,188
1698851855148,545,https://www.talan-academy.com/connexion,200,OK,Thread Group 1-7,text,true,,70184,1287,10,10,https://www.talan-academy.com/#login,223,0,162
1698851855148,223,https://www.talan-academy.com/connexion-0,302,Found,Thread Group 1-7,text,true,,853,690,10,10,https://www.talan-academy.com/connexion,223,0,162
1698851855372,321,https://www.talan-academy.com/connexion-1,200,OK,Thread Group 1-7,text,true,,69331,597,10,10,https://www.talan-academy.com/#login,70,0,0
1698851855194,626,https://www.talan-academy.com/connexion,200,OK,Thread Group 1-2,text,true,,70191,1287,10,10,https://www.talan-academy.com/#login,248,0,182
1698851855194,248,https://www.talan-academy.com/connexion-0,302,Found,Thread Group 1-2,text,true,,853,690,10,10,https://www.talan-academy.com/connexion,248,0,182
1698851855442,378,https://www.talan-academy.com/connexion-1,200,OK,Thread Group 1-2,text,true,,69338,597,10,10,https://www.talan-academy.com/#login,70,0,0
1698851855180,685,https://www.talan-academy.com/connexion,200,OK,Thread Group 1-5,text,true,,70184,1287,10,10,https://www.talan-academy.com/#login,276,0,207
1698851855180,276,https://www.talan-academy.com/connexion-0,302,Found,Thread Group 1-5,text,true,,853,690,10,10,https://www.talan-academy.com/connexion,276,0,207
1698851855456,409,https://www.talan-academy.com/connexion-1,200,OK,Thread Group 1-5,text,true,,69331,597,10,10,https://www.talan-academy.com/#login,79,0,0
1698851855288,668,https://www.talan-academy.com/connexion,200,OK,Thread Group 1-9,text,true,,70184,1287,10,10,https://www.talan-academy.com/#login,223,0,164
1698851855288,224,https://www.talan-academy.com/connexion-0,302,Found,Thread Group 1-9,text,true,,853,690,10,10,https://www.talan-academy.com/connexion,223,0,164
1698851855512,444,https://www.talan-academy.com/connexion-1,200,OK,Thread Group 1-9,text,true,,69331,597,10,10,https://www.talan-academy.com/#login,63,0,0
1698851855325,779,https://www.talan-academy.com/connexion,200,OK,Thread Group 1-6,text,true,,70184,1287,10,10,https://www.talan-academy.com/#login,288,0,214
1698851855325,288,https://www.talan-academy.com/connexion-0,302,Found,Thread Group 1-6,text,true,,853,690,10,10,https://www.talan-academy.com/connexion,288,0,214
1698851855613,491,https://www.talan-academy.com/connexion-1,200,OK,Thread Group 1-6,text,true,,69331,597,10,10,https://www.talan-academy.com/#login,82,0,0
1698851855363,762,https://www.talan-academy.com/connexion,200,OK,Thread Group 1-1,text,true,,70184,1287,10,10,https://www.talan-academy.com/#login,243,0,178
